INFO  00:00:02,782 | james.smtpserver | Id='1938319552' User='' Connection established from 127.0.0.1
INFO  00:00:02,811 | james.smtpserver | Id='1938319552' User='' Successfully spooled mail Mail1493330402808-4aeb4b05-648e-47e5-b746-8e1ee280348d from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  00:00:02,816 | james.smtpserver | Id='1938319552' User='' Connection closed for 127.0.0.1
INFO  00:00:12,877 | james.smtpserver | Id='1958430691' User='' Connection established from 127.0.0.1
INFO  00:00:12,912 | james.smtpserver | Id='1958430691' User='' Successfully spooled mail Mail1493330412903-71a492ba-9fb6-4c9b-a22a-153b89e23964 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  00:00:12,923 | james.smtpserver | Id='1958430691' User='' Connection closed for 127.0.0.1
INFO  00:00:22,989 | james.smtpserver | Id='2131455978' User='' Connection established from 127.0.0.1
INFO  00:00:23,016 | james.smtpserver | Id='2131455978' User='' Successfully spooled mail Mail1493330423014-868b72cd-58ac-4a4c-be65-6220aad6dc33 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  00:00:23,020 | james.smtpserver | Id='2131455978' User='' Connection closed for 127.0.0.1
INFO  00:00:33,076 | james.smtpserver | Id='820974464' User='' Connection established from 127.0.0.1
INFO  00:00:33,102 | james.smtpserver | Id='820974464' User='' Successfully spooled mail Mail1493330433100-45489e70-ed18-4351-822c-63c46ef9b432 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  00:00:33,106 | james.smtpserver | Id='820974464' User='' Connection closed for 127.0.0.1
INFO  00:00:43,170 | james.smtpserver | Id='1965954171' User='' Connection established from 127.0.0.1
INFO  00:00:43,198 | james.smtpserver | Id='1965954171' User='' Successfully spooled mail Mail1493330443194-2f1844a2-0b76-4386-b7e2-51521f301c61 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  00:00:43,206 | james.smtpserver | Id='1965954171' User='' Connection closed for 127.0.0.1
INFO  00:00:53,270 | james.smtpserver | Id='230654946' User='' Connection established from 127.0.0.1
INFO  00:00:53,304 | james.smtpserver | Id='230654946' User='' Successfully spooled mail Mail1493330453296-a747b513-1b5d-45ad-8fbe-a57af1281781 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  00:00:53,329 | james.smtpserver | Id='230654946' User='' Connection closed for 127.0.0.1
INFO  00:01:17,664 | james.smtpserver | Id='726030823' User='' Connection established from 127.0.0.1
INFO  00:01:17,705 | james.smtpserver | Id='726030823' User='' Successfully spooled mail Mail1493330477696-9a886a30-4002-4e0f-91cf-9fa62e7d8d66 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  00:01:17,729 | james.smtpserver | Id='726030823' User='' Connection closed for 127.0.0.1
INFO  00:01:27,768 | james.smtpserver | Id='942661619' User='' Connection established from 127.0.0.1
INFO  00:01:27,793 | james.smtpserver | Id='942661619' User='' Successfully spooled mail Mail1493330487790-735ad874-a10d-4001-b673-5af91a3e14aa from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  00:01:27,800 | james.smtpserver | Id='942661619' User='' Connection closed for 127.0.0.1
INFO  00:01:37,852 | james.smtpserver | Id='2143505254' User='' Connection established from 127.0.0.1
INFO  00:01:37,876 | james.smtpserver | Id='2143505254' User='' Successfully spooled mail Mail1493330497873-94a5475b-ae06-4605-9389-394ecc04f090 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  00:01:37,882 | james.smtpserver | Id='2143505254' User='' Connection closed for 127.0.0.1
INFO  00:01:47,937 | james.smtpserver | Id='129537471' User='' Connection established from 127.0.0.1
INFO  00:01:47,966 | james.smtpserver | Id='129537471' User='' Successfully spooled mail Mail1493330507963-a1b6c604-2924-4581-98a0-b62de7ca8662 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  00:01:47,973 | james.smtpserver | Id='129537471' User='' Connection closed for 127.0.0.1
INFO  00:01:58,044 | james.smtpserver | Id='420756509' User='' Connection established from 127.0.0.1
INFO  00:01:58,075 | james.smtpserver | Id='420756509' User='' Successfully spooled mail Mail1493330518069-6aca54ba-3672-4762-a767-3cca81a93274 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  00:01:58,080 | james.smtpserver | Id='420756509' User='' Connection closed for 127.0.0.1
INFO  00:02:08,160 | james.smtpserver | Id='1795999522' User='' Connection established from 127.0.0.1
INFO  00:02:08,192 | james.smtpserver | Id='1795999522' User='' Successfully spooled mail Mail1493330528186-45b742a8-eabc-44a8-a793-10389cb2a053 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  00:02:08,203 | james.smtpserver | Id='1795999522' User='' Connection closed for 127.0.0.1
INFO  00:02:18,266 | james.smtpserver | Id='1629467781' User='' Connection established from 127.0.0.1
INFO  00:02:18,292 | james.smtpserver | Id='1629467781' User='' Successfully spooled mail Mail1493330538290-85feaee8-8887-4ac5-a689-8f92c0c3ddd3 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  00:02:18,295 | james.smtpserver | Id='1629467781' User='' Connection closed for 127.0.0.1
INFO  00:02:28,363 | james.smtpserver | Id='290956999' User='' Connection established from 127.0.0.1
INFO  00:02:28,388 | james.smtpserver | Id='290956999' User='' Successfully spooled mail Mail1493330548386-e533fa12-00ce-4965-9f5b-5e49b05c46b2 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  00:02:28,391 | james.smtpserver | Id='290956999' User='' Connection closed for 127.0.0.1
INFO  00:02:38,463 | james.smtpserver | Id='1209867818' User='' Connection established from 127.0.0.1
INFO  00:02:38,488 | james.smtpserver | Id='1209867818' User='' Successfully spooled mail Mail1493330558484-0c112aec-8be7-4776-b105-e13da4c48821 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  00:02:38,504 | james.smtpserver | Id='1209867818' User='' Connection closed for 127.0.0.1
INFO  00:02:48,562 | james.smtpserver | Id='48496693' User='' Connection established from 127.0.0.1
INFO  00:02:48,590 | james.smtpserver | Id='48496693' User='' Successfully spooled mail Mail1493330568588-fc245df9-bd92-4ede-b570-a17860492388 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  00:02:48,597 | james.smtpserver | Id='48496693' User='' Connection closed for 127.0.0.1
INFO  00:02:58,663 | james.smtpserver | Id='663356994' User='' Connection established from 127.0.0.1
INFO  00:02:58,686 | james.smtpserver | Id='663356994' User='' Successfully spooled mail Mail1493330578684-b5c23988-7b76-4ffa-9d39-2f5b1c8ea638 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  00:02:58,690 | james.smtpserver | Id='663356994' User='' Connection closed for 127.0.0.1
INFO  00:03:08,753 | james.smtpserver | Id='1691388263' User='' Connection established from 127.0.0.1
INFO  00:03:08,774 | james.smtpserver | Id='1691388263' User='' Successfully spooled mail Mail1493330588772-8992d58f-4e5d-41d9-af59-f1018b0ea588 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  00:03:08,780 | james.smtpserver | Id='1691388263' User='' Connection closed for 127.0.0.1
INFO  00:03:18,842 | james.smtpserver | Id='567088499' User='' Connection established from 127.0.0.1
INFO  00:03:18,870 | james.smtpserver | Id='567088499' User='' Successfully spooled mail Mail1493330598868-2223b5c4-d49c-4821-99d8-6ddd85d9eb65 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  00:03:18,873 | james.smtpserver | Id='567088499' User='' Connection closed for 127.0.0.1
INFO  00:03:28,936 | james.smtpserver | Id='959994368' User='' Connection established from 127.0.0.1
INFO  00:03:28,970 | james.smtpserver | Id='959994368' User='' Successfully spooled mail Mail1493330608961-9e2aeea8-220a-4781-b0ba-d051c8738326 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  00:03:28,976 | james.smtpserver | Id='959994368' User='' Connection closed for 127.0.0.1
INFO  00:03:39,039 | james.smtpserver | Id='869907817' User='' Connection established from 127.0.0.1
INFO  00:03:39,062 | james.smtpserver | Id='869907817' User='' Successfully spooled mail Mail1493330619060-6fce22f6-7137-49f0-b170-5a97e1528ea8 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  00:03:39,066 | james.smtpserver | Id='869907817' User='' Connection closed for 127.0.0.1
INFO  00:03:49,140 | james.smtpserver | Id='177475741' User='' Connection established from 127.0.0.1
INFO  00:03:49,166 | james.smtpserver | Id='177475741' User='' Successfully spooled mail Mail1493330629164-ad779150-1e75-4553-a90f-a0335f8da2df from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  00:03:49,169 | james.smtpserver | Id='177475741' User='' Connection closed for 127.0.0.1
INFO  00:03:59,237 | james.smtpserver | Id='1017702215' User='' Connection established from 127.0.0.1
INFO  00:03:59,259 | james.smtpserver | Id='1017702215' User='' Successfully spooled mail Mail1493330639257-12d4626e-2030-4641-8dcb-dcdf9cd3ab59 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  00:03:59,263 | james.smtpserver | Id='1017702215' User='' Connection closed for 127.0.0.1
INFO  00:04:09,352 | james.smtpserver | Id='1522430532' User='' Connection established from 127.0.0.1
INFO  00:04:09,378 | james.smtpserver | Id='1522430532' User='' Successfully spooled mail Mail1493330649375-22fb6a0d-5334-48f0-a0a7-af32513e47f9 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  00:04:09,394 | james.smtpserver | Id='1522430532' User='' Connection closed for 127.0.0.1
INFO  00:04:19,460 | james.smtpserver | Id='1108607779' User='' Connection established from 127.0.0.1
INFO  00:04:19,485 | james.smtpserver | Id='1108607779' User='' Successfully spooled mail Mail1493330659483-00edad07-09f9-4e75-90b4-1580100f4f43 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  00:04:19,488 | james.smtpserver | Id='1108607779' User='' Connection closed for 127.0.0.1
INFO  00:04:29,554 | james.smtpserver | Id='1071664662' User='' Connection established from 127.0.0.1
